IDX,LON,LAT,ENTRY_EXIT,EXIT_NUM,INTERCHANGE,FACILITY_TYPE,FACILITY_NAME,STATEID,FAFID
267,-135.55912118861247,59.323731016798185,,,,,,0,0
268,-135.56181119552738,59.33590501594626,,,,,,0,0
271,-135.46625115456607,59.28171403223432,,,,,,0,0
272,-135.4624191535664,59.28121603266212,,,,,,0,0
273,-135.4618341535854,59.28178903297621,,,,,,0,0
274,-135.22044293890673,58.95562207649388,,,,,,0,0
275,-135.3807451822321,59.34295904430441,,,,,,0,0
277,-135.32421124055526,59.449642050491406,,,,,,0,0
278,-135.32947624128266,59.450728049724304,,,,Seaport,SKAGWAY,0,0
279,-135.32090424285542,59.453861051159336,,,,,,0,0
280,-135.32155324151222,59.451407051148514,,,,,,0,0
281,-135.29842624747323,59.46569105438771,,,,,,0,0
282,-135.28373225733418,59.4843440561364,,,,,,0,0
283,-135.23124827758934,59.52647006352248,,,,,,0,0
286,-135.1639973339617,59.63112607189143,,,,Border Crossing,SKAGWAY,0,0
287,-134.66396250984116,60.00002814277595,,,,,,0,0
289,-132.11702521719292,60.00001354067021,,,,,,0,0
290,-156.70617115196214,71.31979567655846,,,,,,0,0
291,-156.67716911398122,71.2967426841152,,,,,,0,0
292,-156.77032408824587,71.28783566763889,,,,Airport-Terminal Location,WILEY POST-WILL ROGERS MEM,0,0
295,-150.17766458207836,67.2544151815463,,,,,,0,0
296,-150.08031480601693,67.4388311858625,,,,,,0,0
297,-149.8512199016272,67.51356822171815,,,,,,0,0
298,-149.71943810047574,67.67360323422326,,,,,,0,0
299,-149.7475465132766,68.00087320627946,,,,,,0,0
300,-149.7246025312138,68.014707209471,,,,,,0,0
301,-149.43541474055291,68.17335325042772,,,,,,0,0
302,-149.4615191682618,68.49607122324356,,,,,,0,0
303,-148.83455308709628,69.15023929183029,,,,,,0,0
304,-148.7505044139185,69.37443829173733,,,,,,0,0
305,-148.57455860819815,69.50424331529179,,,,,,0,0
306,-148.43913765098236,70.17724229391644,,,,,,0,0
307,-148.46218568759946,70.19980528793569,,,,Airport-Terminal Location,DEADHORSE,0,0
308,-117.78538306961315,33.542778824319605,,,,,,0,0
309,-117.76141206794053,33.58280483013939,,,,,,0,0
310,-117.727232055322,33.48681482077407,,,,,,0,0
311,-117.71483805594087,33.52366182575774,,,,,,0,0
312,-117.70667205020801,33.465534819639565,,,,,,0,0
313,-117.69752904845018,33.46559782012585,,,,,,0,0
314,-117.71559305669953,33.52927782677623,,,,,,0,0
315,-117.71152905589628,33.52637882651307,,,,,,0,0
316,-117.69180705317818,33.54324182975727,,,,,,0,0
317,-117.44524199072231,33.27583081213799,,,,Rest Area,REST AREA,0,0
318,-117.44058199006741,33.2709228113557,,,,,,0,0
319,-117.38929397698622,33.21335980744834,,,,,,0,0
320,-117.60633102887917,33.41918282006593,,,,,,0,0
321,-117.61121203036534,33.42604482049338,,,,,,0,0
322,-117.6060980292507,33.41903981981031,,,,,,0,0
323,-117.60094902797593,33.40880081912219,,,,,,0,0
324,-117.60539402944399,33.4186698198019,,,,,,0,0
325,-117.60354702854112,33.41557681961573,,,,,,0,0
514,-118.11810441460007,48.62589913798308,,,,,,0,0
515,-118.22421952899577,48.9989621493471,,,,,,0,0
517,-118.02658242031683,48.71695515369281,,,,,,0,0
518,-117.9058413559783,48.546555156224606,,,,,,0,0
519,-117.77715142488074,48.91768119377648,,,,,,0,0
520,-118.22357252909049,49.00035314949776,,,,Border Crossing,LAURIER,0,0
522,-118.2239105291993,49.000351149265285,,,,Border Crossing,LAURIER,0,0
523,-118.224058528439,48.999865149328386,,,,,,0,0
526,-117.54748830463276,48.611391199317175,,,,,,0,0
527,-117.40538129635172,48.685132219258996,,,,,,0,0
528,-117.83103445522212,48.998871192725275,,,,,,0,0
530,-117.83165345553832,49.00060219313564,,,,Border Crossing,FRONTIER,0,0
531,-117.83177045571418,49.000606192991,,,,Border Crossing,FRONTIER,0,0
532,-130.35577414064878,54.29950081807859,,,,,,0,0
533,-131.50158043019485,54.66997366136382,,,,,,0,0
534,-133.1286919594451,55.4782974304727,,,,,,0,0
535,-133.09715198764877,55.54866743434701,,,,,,0,0
536,-133.08207998733647,55.55210343641971,,,,,,0,0
537,-133.0496319831796,55.549798441437254,,,,,,0,0
538,-132.84492992033677,55.45950947102992,,,,,,0,0
539,-132.64975691024506,55.48584849884854,,,,,,0,0
540,-132.63986690992118,55.486058500141,,,,,,0,0
542,-132.62221690913512,55.49043550248575,,,,,,0,0
543,-132.6283779110865,55.492412501811394,,,,,,0,0
544,-132.62303191016827,55.49188350269948,,,,,,0,0
545,-132.6222109101857,55.49101150271534,,,,,,0,0
546,-132.8178484498906,56.614777468532445,,,,,,0,0
547,-132.9207204916004,56.67849745321471,,,,,,0,0
548,-132.74871643136302,56.59194547878927,,,,,,0,0
549,-132.7081644007363,56.53887848485231,,,,,,0,0
550,-132.71057439918394,56.534434484729466,,,,,,0,0
551,-132.24874992232324,55.61435555545794,,,,,,0,0
552,-131.69454674316418,55.3537596345764,,,,Border Crossing,KETCHIKAN(FERRY),0,0
553,-132.54641441004114,56.59607950849377,,,,,,0,0
554,-132.39175233444854,56.47443253154184,,,,,,0,0
555,-132.3908393344045,56.47442453165623,,,,,,0,0
556,-132.38972933471692,56.47452853152594,,,,,,0,0
557,-132.38664533300658,56.472793532422536,,,,,,0,0
558,-132.37764233099088,56.47030853366028,,,,,,0,0
559,-132.31937924737647,56.30772954294312,,,,,,0,0
560,-132.3409362674715,56.34513453963628,,,,,,0,0
561,-132.3364732943079,56.40311053973933,,,,,,0,0
562,-132.339927298609,56.41206253917246,,,,,,0,0
563,-132.37969032634527,56.460020533516484,,,,,,0,0
564,-132.37349233266883,56.475648534239056,,,,,,0,0
566,-132.37907633773006,56.484103533125314,,,,,,0,0
567,-132.38130033820144,56.48478553289278,,,,,,0,0
568,-132.37872133790282,56.484503533459936,,,,,,0,0
569,-133.74477607293932,57.65648432148586,,,,,,0,0
571,-132.92970951313535,56.72045145117979,,,,,,0,0
572,-132.96602454629974,56.77923444573431,,,,,,0,0
573,-132.9769265598766,56.80558544362456,,,,,,0,0
574,-132.9750315601915,56.80636144421548,,,,,,0,0
575,-132.97457155988397,56.80664044431638,,,,,,0,0
770,-150.2175443162414,65.15931832020817,,,,,,0,0
771,-150.21620431640008,65.1596273205906,,,,,,0,0
772,-149.5613163890435,65.22317643001293,,,,,,0,0
773,-150.22446435508195,65.19925731652307,,,,,,0,0
774,-150.64742065918,66.45880915430921,,,,,,0,0
775,-150.28947830141271,67.0180151781667,,,,,,0,0
776,-150.32454744404154,66.25531622564301,,,,,,0,0
