STFIP,COFIP,NAME,ST,LON,LAT,POP,ALAND,AWATER,CBSA
13,101,Echols,GA,-83.050326,30.712259,3697,420.407,0.313,46660
13,103,Effingham,GA,-81.299809,32.287329,64769,478.829,4.074,42340
13,109,Evans,GA,-81.906627,32.168708,10774,182.895,3.975,44340
13,113,Fayette,GA,-84.513188,33.428121,119194,194.56,4.948,12060
13,115,Floyd,GA,-85.183346,34.256222,98584,509.811,8.654,40660
13,117,Forsyth,GA,-84.150182,34.190488,251283,224.618,22.567,12060
13,121,Fulton,GA,-84.396191,33.832534,1066710,526.695,7.593,12060
13,127,Glynn,GA,-81.486211,31.202596,84499,419.636,165.679,15260
13,129,Gordon,GA,-84.907765,34.498248,57544,356.443,2.212,15660
13,131,Grady,GA,-84.212447,30.881836,26236,454.462,5.802,45620
13,135,Gwinnett,GA,-84.053177,33.954137,957062,430.756,6.028,12060
13,137,Habersham,GA,-83.541387,34.565656,46031,276.868,2.189,18460
13,139,Hall,GA,-83.847644,34.26936,203136,392.988,36.289,23580
13,143,Haralson,GA,-85.184723,33.760719,29919,282.165,1.01,12060
13,145,Harris,GA,-84.894283,32.69754,34668,463.802,9.155,17980
13,149,Heard,GA,-85.116748,33.307964,11412,295.973,5.121,12060
13,151,Henry,GA,-84.174632,33.470292,240712,318.708,7.827,12060
13,153,Houston,GA,-83.663692,32.565757,163633,376.046,3.857,47580
13,157,Jackson,GA,-83.599045,34.129495,75907,339.658,3.42,27600
13,159,Jasper,GA,-83.726512,33.358288,14588,368.406,5.058,12060
13,167,Johnson,GA,-82.684511,32.699439,9189,303.019,3.574,20140
13,169,Jones,GA,-83.550237,32.961196,28347,393.942,1.475,31420
13,173,Lanier,GA,-83.097639,31.037307,9877,196.538,3.251,46660
13,175,Laurens,GA,-82.925405,32.517494,49570,807.336,11.135,20140
13,177,Lee,GA,-84.177116,31.680634,33163,355.882,5.911,10500
13,179,Liberty,GA,-81.5777,31.828772,65256,516.471,86.056,25980
13,181,Lincoln,GA,-82.445454,33.780601,7690,210.381,46.917,12260
13,183,Long,GA,-81.731661,31.775868,16168,400.39,3.422,25980
13,185,Lowndes,GA,-83.281437,30.860299,118251,497.239,13.337,46660
13,187,Lumpkin,GA,-83.988151,34.524477,33488,282.944,1.265,12060
13,189,McDuffie,GA,-82.468712,33.459579,21632,257.372,8.924,12260
13,191,McIntosh,GA,-81.405656,31.480147,10975,431.354,142.535,15260
13,195,Madison,GA,-83.240303,34.101336,30120,282.324,3.262,12020
13,197,Marion,GA,-84.524649,32.382601,7498,365.72,1.463,17980
13,199,Meriwether,GA,-84.675396,33.016626,20613,500.907,4.182,12060
13,207,Monroe,GA,-83.909101,33.037037,27957,396.092,2.179,31420
13,209,Montgomery,GA,-82.52948,32.173336,8610,241.145,3.549,47080
13,211,Morgan,GA,-83.485701,33.600047,20097,347.411,7.209,12060
13,213,Murray,GA,-84.79164,34.781729,39973,344.494,2.208,19140
13,215,Muscogee,GA,-84.928926,32.495642,206922,216.495,4.516,17980
13,217,Newton,GA,-83.898026,33.570575,112483,273.804,5.395,12060
13,219,Oconee,GA,-83.464103,33.876988,41799,184.342,2.033,12020
13,221,Oglethorpe,GA,-83.147433,33.918851,14825,439.062,2.976,12020
13,223,Paulding,GA,-84.814237,33.913898,168661,312.35,2.012,12060
13,225,Peach,GA,-83.822766,32.589118,27981,150.284,1.034,47580
13,227,Pickens,GA,-84.436004,34.455831,33216,232.059,0.653,12060
13,229,Pierce,GA,-82.242367,31.313022,19716,340.456,2.774,48180
13,231,Pike,GA,-84.366582,33.10478,18889,216.086,3.319,12060
13,233,Polk,GA,-85.174625,34.010871,42853,310.336,1.804,16340
13,239,Quitman,GA,-85.078114,31.859563,2235,151.237,9.328,21640
13,245,Richmond,GA,-82.051886,33.427932,206607,324.34,4.245,12260
13,247,Rockdale,GA,-84.019225,33.642136,93570,129.818,2.278,12060
13,249,Schley,GA,-84.306635,32.241832,4547,166.909,0.915,11140
13,255,Spalding,GA,-84.271569,33.258944,67306,195.97,3.62,12060
13,257,Stephens,GA,-83.289701,34.558402,26784,178.864,5.033,45740
13,259,Stewart,GA,-84.758019,32.068608,5314,458.748,4.864,17980
13,261,Sumter,GA,-84.222402,32.061409,29616,482.877,9.734,11140
13,263,Talbot,GA,-84.58298,32.700716,5733,391.377,3.385,17980
13,273,Terrell,GA,-84.429026,31.77202,9185,335.791,1.912,10500
13,275,Thomas,GA,-83.947978,30.86927,45798,544.633,7.585,45620
13,277,Tift,GA,-83.513873,31.455071,41344,260.89,7.899,45700
13,279,Toombs,GA,-82.368674,32.185481,27030,364.013,6.979,47080
13,285,Troup,GA,-85.029721,33.038124,69426,414.009,31.953,29300
13,287,Turner,GA,-83.638274,31.70277,9006,285.417,4.563,45700
13,289,Twiggs,GA,-83.416707,32.702269,8022,359.26,3.375,31420
13,293,Upson,GA,-84.325253,32.90722,27700,323.467,4.087,45580
13,295,Walker,GA,-85.293092,34.838709,67654,446.39,0.646,16860
13,297,Walton,GA,-83.785302,33.795968,96673,326.821,3.179,12060
13,299,Ware,GA,-82.383829,31.226953,36251,899.242,8.745,48180
13,305,Wayne,GA,-81.916558,31.61057,30144,641.813,6.86,27700
13,313,Whitfield,GA,-84.966305,34.793647,102864,290.445,0.61,19140
13,321,Worth,GA,-83.85916,31.545333,20784,570.712,4.043,10500
15,1,Hawaii,HI,-155.428067,19.672735,200629,4028.449,1057.716,25900
15,3,Honolulu,HI,-157.917219,21.371521,1016508,600.625,1565.597,46520
15,5,Kalawao,HI,-156.982059,21.189607,82,11.991,40.836,27980
15,7,Kauai,HI,-159.438951,22.019834,73298,619.884,646.429,28180
15,9,Maui,HI,-156.491993,20.862853,164754,1161.53,1236.799,27980
16,1,Ada,ID,-116.313143,43.612091,494967,1052.014,8.556,14260
16,5,Bannock,ID,-112.425092,42.871117,87018,1112.491,35.55,38540
16,11,Bingham,ID,-112.346259,43.223106,47992,2093.732,26.499,13940
16,13,Blaine,ID,-114.299016,43.548124,24272,2637.738,17.242,25200
16,15,Boise,ID,-115.985316,43.90651,7610,1899.556,7.376,14260
16,17,Bonner,ID,-116.630197,48.23649,47110,1733.22,184.912,41760
16,19,Bonneville,ID,-111.994434,43.494825,123964,1865.982,34.307,26820
16,23,Butte,ID,-113.30219,43.697316,2574,2236.487,2.031,26820
16,25,Camas,ID,-114.754454,43.352907,1077,1074.234,4.459,25200
16,27,Canyon,ID,-116.625046,43.612485,231105,587.05,16.648,14260
16,31,Cassia,ID,-113.747762,42.487358,24655,2565.61,15.119,15420
16,39,Elmore,ID,-115.685056,43.117658,28666,3075.079,26.383,34300
16,41,Franklin,ID,-111.871828,42.098212,14194,663.019,4.692,30860
16,43,Fremont,ID,-111.616883,44.012878,13388,1863.96,32.217,39940
16,45,Gem,ID,-116.507732,43.883064,19123,559.769,4.823,14260
16,51,Jefferson,ID,-111.959043,43.68709,30891,1093.681,12.033,26820
16,53,Jerome,ID,-114.464966,42.699506,24237,597.543,4.984,46300
16,55,Kootenai,ID,-116.837402,47.738595,171362,1237.779,71.216,17660
16,57,Latah,ID,-116.934836,46.742589,39517,1075.867,0.915,34140
16,63,Lincoln,ID,-114.333319,42.971703,5127,1201.364,4.474,25200
16,65,Madison,ID,-111.793855,43.819187,52913,469.267,4.054,39940
16,67,Minidoka,ID,-113.712634,42.611171,21613,756.996,5.378,15420
16,69,Nez Perce,ID,-116.952097,46.393945,42090,848.32,8.206,30300
16,71,Oneida,ID,-112.295487,42.18223,4564,1198.951,1.543,14940
16,73,Owyhee,ID,-116.704658,43.393385,11913,7668.205,28.621,14260
16,75,Payette,ID,-116.893339,44.019562,25386,406.893,3.426,36620
