CBSA,NAME,LON,LAT,POP,ALAND,AWATER,IS_MSA,CSA,ISCUS
42680,"Sebastian-Vero Beach-West Vero Corridor, FL",-80.44073800000001,27.671332000000003,159788,502.81,114.097,true,370,true
36740,"Orlando-Kissimmee-Sanford, FL",-81.42684158867532,28.54659756446381,2673376,3490.501,521.013,true,422,true
15980,"Cape Coral-Fort Myers, FL",-81.851845,26.576019000000002,760822,781.009,733.819,true,163,true
35840,"North Port-Bradenton-Sarasota, FL",-82.46604206540523,27.334025042177434,833716,1298.764,640.819,true,412,true
36100,"Ocala, FL",-82.12612499999999,29.135817,375908,1588.422,74.24,true,,true
38940,"Port St. Lucie, FL",-80.32089855658334,27.272604169182436,487657,1115.482,325.484,true,370,true
28580,"Key West-Key Largo, FL",-81.244796,24.747427,82874,983.042,4306.523,false,370,true
18880,"Crestview-Fort Walton Beach-Destin, FL",-86.46705790216963,30.54958454532308,286973,1968.4869999999999,687.6510000000001,true,,true
36380,"Okeechobee, FL",-80.824315,27.271934,39644,769.164,122.751,false,370,true
29460,"Lakeland-Winter Haven, FL",-81.786864,28.042479,725046,1797.764,212.649,true,422,true
37260,"Palatka, FL",-81.721195,29.609230000000004,73321,728.364,98.557,false,300,true
48680,"Wildwood-The Villages, FL",-82.02475400000002,28.83348,129752,557.133,22.693,true,422,true
20060,"Douglas, GA",-82.84483923689842,31.483749535326403,51378,934.988,12.195,false,,true
33300,"Milledgeville, GA",-83.243621,33.085482,43799,258.698,9.578,false,,true
12060,"Atlanta-Sandy Springs-Roswell, GA",-84.33944792006086,33.83182579316597,6104803,8785.113,148.302,true,122,true
22340,"Fitzgerald, GA",-83.24814,31.727139,17194,250.118,3.789,false,,true
31420,"Macon-Bibb County, GA",-83.70235919588242,32.862997681307256,233802,1723.5910000000001,14.091,true,356,true
15260,"Brunswick-St. Simons, GA",-81.55527357636751,31.231759519300407,113495,1294.2250000000001,312.188,true,,true
46660,"Valdosta, GA",-83.29213763471606,30.866296155496,148126,1607.368,21.517,true,,true
42340,"Savannah, GA",-81.18667522581902,32.07289023517903,404798,1349.51,217.823,true,496,true
44340,"Statesboro, GA",-81.77933482359711,32.38639348860927,91873,858.858,16.650000000000002,false,496,true
12260,"Augusta-Richmond County, GA-SC",-82.01910773527983,33.48431760734861,611000,3480.719,101.31700000000001,true,,true
28680,"Kingsland, GA",-81.631375,30.812543,54768,630.359,151.548,false,300,true
16860,"Chattanooga, TN-GA",-85.2439582012947,35.045190192491916,562647,2088.793,48.92000000000001,true,174,true
44900,"Summerville, GA",-85.34404200000002,34.496004,24965,313.327,0.22,false,174,true
12020,"Athens-Clarke County, GA",-83.36166923600938,33.95507277005315,215415,1024.951,10.081,true,122,true
34220,"Moultrie, GA",-83.767871,31.179661,45898,547.037,9.602,false,,true
18380,"Cordele, GA",-83.77804800000001,31.949313999999998,20128,272.68,8.266,false,,true
12460,"Bainbridge, GA",-84.569999,30.889772,29367,597.239,25.929,false,533,true
10500,"Albany, GA",-84.14481330338346,31.606043037590148,148922,1591.029,17.793999999999997,true,,true
40660,"Rome, GA",-85.18334599999999,34.256222,98584,509.811,8.654,true,122,true
15660,"Calhoun, GA",-84.907765,34.498248,57544,356.443,2.212,false,122,true
